Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Category
Legalpay,2019,New Delhi,financial services,a trusted financial partner for advocates and corporate.,Kundan Shahi,9Unicorns,0.0,Seed,2021,fintech
Glamplus,2020,Bangalore,saas startup,india's #1 saas based salon experience software,Divyanshu Singh,Inflection Point Ventures,200000.0,Pre-Series A,2021,technology
Tekie,2017,Gurgaon,education,"tekie is a live coding platform for kids that uses the power of storytelling, to make learning to code a movie-like experience.","Anand Verma, Naman Mukund","Gsv, Multiply Ventures",1500000.0,Seed,2021,education and training
Asirvad Microfinance,2007,Chennai,financial services,asirvad microfinance provides microfinance loans to women from a poor and low-income households.,Raja Vaidyanathan,"Worldbusiness Capital, Northern Arc",15000000.0,Unknown,2021,fintech
Avalon Labs,2017,Bangalore,financial services,"avalon labs incubates, invests, partners with and spearheads technology companies that are on the cutting edge.",Varun Mayya,"Tanglin Ventures, Better Capital, Whiteboard Capital",0.0,Pre-Series A,2021,fintech
Betterhalf.Ai,2016,Bangalore,matrimony,india’s first and only matrimony app without parents. 10l verified profiles 20l matches 50k relationships 3k marriages,"Rahul Namdev, Pawan Gupta","Y Combinator, Rehan A Khan",3000000.0,Pre-Series A,2021,events and entertainment
Koo,2020,Bangalore,social media,koo app operates as a microblogging app.,"Aprameya Radhakrishna, Mayank Bidawatka","Balaji Srinivasan, Naval Ravikant",30000000.0,Series B,2021,media and entertainment
Rezo.Ai,2017,Noida,ai startup,conversational ai platform - innovate the way you communicate,"Manish Gupta, Rashi Gupta","Devesh Sachdev, Bhavesh Manglani",0.0,Seed,2021,technology
Mentoria,2015,Mumbai,education,mentoria is a holistic career discovery platform that enables students to discover themselves and the careers they will enjoy and excel at.,"Ashish Arora, Nikhar Arora, Sameer Bhakhri","Pradeep K Jaisingh, Jayant Mehrotra",200000.0,Pre-Series A,2021,education and training
Cuvette Tech,2020,Bangalore,human resources,help startups to find interns who are verified on their software development skills and problem-solving abilities.,"Atul Singhal, Sudhanshu Singh","Varun Alagh, Harish Daiya",1800000.0,Seed,2021,human resources
Clensta,2016,New Delhi,biotechnology,a biotechnology start-up was incorporated to improve the national hygiene condition whilst addressing the aspect of water conservation.,Puneet Gupta,"Ian Fund, World Startup Factory",600000.0,Unknown,2021,technology
Farmart,2015,Gurgaon,agritech,farmart is a micro-saas platform that helps food businesses source high quality produce at affordable prices,"Alekh Sanghera, Mehtab Singh Hans","Omidyar Network India, Avaana Capital",24000000.0,Pre-Series A,2021,technology
Kodo Card,2019,Mumbai,financial services,kodo card is a corporate card for new economy businesses in india.,"Deepti Sanghi, Gaurav Thapa","Brex, Y-Combinator",8000000.0,Seed,2021,fintech
Polygon,2017,Mumbai,crypto,polygon is a blockchain scalability platform.,"Jaynti Kanani, Sandeep Nailwal, Anurag Arjun","Mark Cuban, Mih Ventures",0.0,Unknown,2021,technology
Get My Parking,2015,New Delhi,mobility,"get my parking, is a b2b platform-as-a-service company.","Chirag Jain, Rasik Pansare","Ivycap Ventures, Ian Fund",6000000.0,Unknown,2021,technology
Cellestial,2019,Hyderabad,electronics,cellestial e-mobility is a city-based startup working in developing electric tractors with the longest battery life.,Siddhartha Durairajan,"Gurj Aujla, Ashik K",500000.0,Pre-Series A,2021,technology and innovation
Fancode,2019,Mumbai,sports startup,"fancode is a multi sport aggregator platform for every sports fan, focusing on long trail sports content and contextual commerce.",Yannick Colaco,Dream Sports,50000000.0,Unknown,2021,technology
Jai Kisan,2017,Mumbai,financial services,jai kisan is a fintech platform that provides sustainable financing for rural emerging markets,"Adriel Maniego, Arjun Ahluwalia","The Chatterjee Group, Prophetic Ventures",30000000.0,Series A,2021,fintech
Plum,2019,Bangalore,healthcare,high quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Harsh Jain, Lalit Keshre",15000000.0,Series A,2021,technology
Thatmate,2019,Satara,healthcare,thatmate is a sexual and mental wellness app for teens.,Nishant Neeraj,"Supriya Kumari, Premanshu Singh",140000.0,Unknown,2021,technology
Klassroom,2016,Mumbai,education,klassroom offers a one-of-a-kind live interactive learning experience to students.,Alka Javeri,Ah! Ventures,200000.0,Pre-Series A,2021,education and training
Convin,2019,Bangalore,saas startup,convin is a conversation intelligence platform that helps remote sales teams to understand conversations on a deeper levels.,"Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary","9Unicorns Accelerator Fund, Sunder Nookala",300000.0,Pre-Seed,2021,technology
Mensa Brands,2021,Bangalore,clothing,"mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",Ananth Narayanan,"Accel Partners, Falcon Edge Capital, Norwest Venture Partners",50000000.0,Series A,2021,consumer goods and services
Disruptium,2021,Ahmedabad,consulting,a consultancy platform for startups,"Yash Shah, Kapil Mathrani, Ishit Desai",Pravesh Mehta,200000.0,Unknown,2021,business services
Medtel Healthcare,2017,Orissia,healthcare,an aggregator for digital health clinics in low resource settings.,"Ajit Choudhury, Lalit Ranjan Manik, Manish Kumar Swain, Shashank Singhal, Siba Prasad Panda",Undisclosed,5000000.0,Pre-Series A,2021,technology
Pickright Technologies,2019,Bangalore,financial services,pickright is a fintech marketplace platform for stock market investors and the stock market advisors.,"Namandeep Bhatia, Archana E","Gaurav Gupta, Vivek Srivatsav",200000.0,Unknown,2021,fintech
Ingenium,2018,New Delhi,education,ingenium education has been pushing e-learning by bringing small and medium sized institutes and schools online.,"Pramudit Somvanshi, Mohit Patel, Aakash Gupta",Lead Angels,0.0,Seed,2021,education and training
Bharatpe,2018,New Delhi,financial services,"bharatpe is the definitive platform for financial services. we process payments via upi and pos, and provide credit / loans to our merchants","Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani","Amplo, Insight Partners",6000000.0,Debt,2021,fintech
Rulezero,2019,Bangalore,technology,rulezero is a technology platform created by experienced startup executives to automate and manage the equity ownership of a startup.,"Satish Mugulavalli, Srinivas Katta","Induslaw, Reddy Futures",1000000.0,Seed,2021,technology
Rubix Data Sciences,2018,Mumbai,it startup,"rubix data sciences focuses on simplifying decision making for credit, risk, compliance, supply chain and marketing professionals in the b2b domain.",Mohan Ramaswamy,Undisclosed,800000.0,Seed,2021,technology
Locobuzz,2011,Mumbai,analytics,locobuzz is an analytics-based integrated marketing platform.,Vishal Agrawal,Yuj Ventures,4000000.0,Series A,2021,technology
We Founder Circle,2020,Mumbai,financial services,"a global platform of founders for founders offering investment, network and business opportunities.",Neeraj Tyagi,Geekster,2000000.0,Pre-Seed,2021,fintech
Haqdarshak,2015,Jaipur,finance,haqdarshak is a tech platform that connects citizens with their eligible welfare schemes.,"Aniket Doegar, Asha Krishnan, Pr Ganapathy","Manish Subramaniam, Upaya Social Ventures",800000.0,Pre-Series A,2021,financial services
Celcius,2020,Mumbai,logistics,the “online” cold chain network for reefer trucks and cold storage facilities.,"Swarup Bose, Rajneesh Raman, Arbind Jain",Eaglewings Ventures,0.0,Seed,2021,mobility and transportation
